time,step,loss,perplexity
34632,12656,3.1525368690490723,23.395340276453844
34635,12657,2.8790318965911865,17.797035466312284
34641,12659,2.8691906929016113,17.622750210185202
34643,12660,2.9011266231536865,18.19463232078463
34649,12662,2.886758804321289,17.9350841751974
34660,12666,2.93376088142395,18.798195504461994
34665,12668,3.16011905670166,23.57340233353292
34668,12669,2.854398727416992,17.363993574967747
34673,12671,2.995079517364502,19.98694913618969
34679,12673,3.1345882415771484,22.97917202613365
34684,12675,2.926345109939575,18.65930799778194
34706,12683,2.9293742179870605,18.715914748497685
34722,12689,2.8372650146484375,17.0690181250045
34733,12693,2.918135166168213,18.50674325921489
34750,12699,2.9583826065063477,19.266784569319437
34758,12702,2.906036853790283,18.284191860883865
34763,12704,2.8000617027282715,16.44566148197318
34771,12707,3.0365166664123535,20.83254998010502
34785,12712,2.976470708847046,19.618455078235296
34788,12713,3.031169891357422,20.72146027203339
34801,12718,2.795044422149658,16.36335563244514
34807,12720,3.077374219894409,21.701344559505085
34812,12722,3.202651023864746,24.597652802775627
34818,12724,2.9159388542175293,18.4661412814522
34821,12725,2.931360960006714,18.753135404442418
34826,12727,2.810678482055664,16.62119157419641
34834,12730,3.058814525604248,21.30228886950352
34837,12731,2.9614529609680176,19.326031335025952
34842,12733,2.6951229572296143,14.80733931077969
34845,12734,2.943134307861328,18.97522740876126
34848,12735,2.9690136909484863,19.47270401710964
34851,12736,2.8698155879974365,17.63376602187138
34856,12738,2.982208728790283,19.731349750917992
34867,12742,2.8635101318359375,17.522926896117983
34870,12743,3.0080199241638184,20.247269079041185
34878,12746,2.887178659439087,17.942615893081
34883,12748,2.8491315841674805,17.272775373977822
34886,12749,3.023022174835205,20.5533136236274
34894,12752,2.957913398742676,19.25774656493525
34902,12755,3.053107500076294,21.181062413391302
34908,12757,2.555105209350586,12.872653909839064
34911,12758,3.1222214698791504,22.69674381395674
34930,12765,2.8765459060668945,17.752847153403657
34932,12766,3.271571636199951,26.35272370871197
34935,12767,2.993380546569824,19.953020723185197
34941,12769,2.9220104217529297,18.578600762553357
34946,12771,2.8775012493133545,17.769815319958216
34949,12772,3.03403639793396,20.78094368824997
34962,12777,2.988697052001953,19.859789353741768
34968,12779,2.874472379684448,17.716074294389646
34984,12785,3.0566318035125732,21.25584260107314
34995,12789,2.980802059173584,19.70361377297911
34998,12790,2.9529309272766113,19.162034032660653
35003,12792,2.964754343032837,19.389939382655538
35006,12793,3.0847389698028564,21.861759517818836
35009,12794,2.9284234046936035,18.69812786529812
35017,12797,2.836488962173462,17.05577680988543
35022,12799,2.7116165161132812,15.053590228184287
35031,12802,3.001532554626465,20.116342705466884
35039,12805,3.0914554595947266,22.00908801377504
35041,12806,2.9855871200561523,19.79812269964413
35047,12808,2.82902455329895,16.92893948983267
35063,12814,3.064767360687256,21.42947606865871
35066,12815,2.9394259452819824,18.904990697590716
35069,12816,3.0505452156066895,21.126859976805097
35074,12818,3.1895596981048584,24.277735556463057
35077,12819,2.9351940155029297,18.825155152843877
35080,12820,2.8339688777923584,17.012848926802043
35093,12825,3.146428108215332,23.25285937204445
35101,12828,3.063080310821533,21.39335395240763
35107,12830,2.9438233375549316,18.988306409281183
35112,12832,2.833421230316162,17.003534433786463
35115,12833,3.076517105102539,21.682751985203133
35126,12837,2.947563648223877,19.059461562563932
35137,12841,3.135007381439209,22.988805531879052
35142,12843,3.044500827789306,20.999546196286907
35145,12844,2.781836748123169,16.14865473607229
35153,12847,2.9344546794891357,18.811242181488268
35156,12848,3.130300998687744,22.88086561656422
35159,12849,3.0132148265838623,20.35272534652641
35161,12850,2.884851455688477,17.900908319912805
35181,12857,2.9517757892608643,19.13991201814033
35194,12862,2.726728916168213,15.282813802576134
35200,12864,2.7796335220336914,16.113114764320827
35205,12866,2.6743626594543457,14.503103477479153
35213,12869,2.90251088142395,18.21983583110837
35216,12870,2.995757579803467,20.00050613139363
35232,12876,2.6735663414001465,14.491558991489477
35241,12879,3.3826730251312256,29.449384944163132
35243,12880,2.9473915100097656,19.05618098325326
35246,12881,3.0816030502319336,21.793310180195007
35249,12882,2.891561269760132,18.02142395304844
35254,12884,2.923500061035156,18.606296799488835
35257,12885,2.990997791290283,19.90553415461739
35262,12887,2.8449816703796387,17.201243373775043
35265,12888,2.8690426349639893,17.620141215279823
35279,12893,2.862818956375122,17.51081966363871
35290,12897,2.854534864425659,17.36635761802478
35306,12903,2.947917222976685,19.06620169847529
35317,12907,2.8478407859802246,17.25049409025022
35344,12917,3.102360248565674,22.25040584266496
35352,12920,2.8973591327667236,18.126213183570947
35358,12922,2.7806410789489746,16.129357826058836
35360,12923,3.012657403945923,20.34138343808643
35363,12924,3.0059590339660645,20.205584648935343
35374,12928,2.970520496368408,19.502067710193337
35377,12929,3.0812511444091797,21.785642336704033
35380,12930,2.835139751434326,17.032780489578872
35382,12931,2.9313442707061768,18.752822430341308
35388,12933,2.994296073913574,19.971296624014595
35390,12934,3.0814270973205566,21.789475921154676
35407,12940,2.900752544403076,18.187827368331668
35410,12941,2.879035472869873,17.797099113584718
35418,12944,3.2469630241394043,25.712134092138548
35429,12948,2.940380573272705,18.923046547813783
35431,12949,2.88474178314209,17.898945189367456
35442,12953,3.33315372467041,28.026590623972098
35448,12955,2.8483500480651855,17.259281350156463
35450,12956,2.7753450870513916,16.04416267324436
35453,12957,3.004704236984253,20.18024664265362
35459,12959,3.0294065475463867,20.68495340984132
35475,12965,3.0302019119262695,20.70141202941527
35478,12966,2.88466215133667,17.89751992079602
35480,12967,3.043081760406494,20.969767559169444
35489,12970,2.9670605659484863,19.434708509142915
35491,12971,2.7701575756073,15.96114889937722
35494,12972,3.005714178085327,20.20063779836776
35502,12975,2.994954824447632,19.98445706057788
35519,12981,2.852050304412842,17.323263417550898
35527,12984,3.055885076522827,21.23997621437997
35540,12989,2.878933906555176,17.79529161960725
35543,12990,2.976733684539795,19.623614933478677
35549,12992,2.979994773864746,19.687713753838626
35551,12993,2.762561321258545,15.840363292542698
35560,12996,2.840029716491699,17.11627416520767
35562,12997,3.014694929122925,20.382871771385144
35565,12998,2.9906063079833984,19.897742995435117
35573,13001,2.925962448120117,18.65216915900131
35579,13003,2.618600606918335,13.716515351590456
35581,13004,2.8232572078704834,16.831585455082045
35595,13009,2.928469657897949,18.698992733628465
35600,13011,2.951078414916992,19.12656898763924
35603,13012,3.0512442588806152,21.141633729315604
35611,13015,2.904195547103882,18.25055603259601
35620,13018,2.9693102836608887,19.478480335776545
35622,13019,2.9781737327575684,19.651894242086897
35625,13020,2.7359273433685303,15.424040187289606
35628,13021,2.9383537769317627,18.884732227089675
35639,13025,2.9027464389801025,18.22412815663525
35644,13027,2.7781753540039062,16.089636257475377
35647,13028,2.909156084060669,18.34131350707561
35652,13030,2.6637659072875977,14.350229100755037
35655,13031,2.9271373748779297,18.674096970901413
35663,13034,2.898106336593628,18.13976222074482
35666,13035,2.88232421875,17.855725600940847
35674,13038,2.846451759338379,17.226549328179992
35677,13039,3.0609278678894043,21.347355501178132
35682,13041,3.021937847137451,20.531039174967955
35685,13042,2.781198263168335,16.138347353886886
35690,13044,2.906129837036133,18.28589206343478
35696,13046,3.1657748222351074,23.70710571102915
35704,13049,2.9257211685180664,18.647669313931488
35707,13050,2.7679004669189453,15.925163478301029
35709,13051,3.074282169342041,21.634346539085175
35712,13052,2.9839954376220703,19.76663544102115
35715,13053,3.140643835067749,23.118746727983243
35718,13054,3.179579257965088,24.036638200168063
35723,13056,3.020355224609375,20.49857198827208
35729,13058,2.608781337738037,13.582488295890036
35737,13061,3.158399820327759,23.532908901649115
35748,13065,2.6856677532196045,14.66799271016019
35753,13067,2.892003059387207,18.029387390168456
35756,13068,3.088148355484009,21.936421891775645
35767,13072,2.9012622833251953,18.197100775157494
35769,13073,2.9442381858825684,18.996185310601252
35780,13077,3.0183920860290527,20.45836992478258
35791,13081,2.5116939544677734,12.325791716120904
35797,13083,2.957210063934326,19.244206683538856
35799,13084,2.7589120864868164,15.782663432219042
35813,13089,2.93804931640625,18.878983446774395
35816,13090,3.1497063636779785,23.329213270714707
35819,13091,2.900670289993286,18.186331400851927
35832,13096,2.935922622680664,18.838876294064185
35835,13097,2.8387537002563477,17.094447450067133
35838,13098,3.038590431213379,20.875796615145607
35843,13100,3.2617762088775635,26.095847678063983
35846,13101,3.2243852615356445,25.13811603810534
35854,13104,2.7064595222473145,14.976158784062635
35859,13106,2.9347574710845947,18.816938929941216
35865,13108,3.5604710578918457,35.179764948515256
35868,13109,3.1744306087493896,23.91320002436513
35870,13110,3.0670456886291504,21.478355102857435
35873,13111,3.013069868087769,20.349775259893992
35879,13113,3.0174560546875,20.439229208888413
35884,13115,2.8926525115966797,18.041100418758884
35887,13116,2.9368679523468018,18.856693663018508
35898,13120,2.7760257720947266,16.055087412540377
35919,13128,3.0040769577026367,20.167591961461387
