"total_training_time","baseline - train/loss","baseline - train/loss__MIN","baseline - train/loss__MAX","baseline - _step","baseline - _step__MIN","baseline - _step__MAX"
"53666.1585187912","2.7807007387869387","2.7807007387869387","2.7807007387869387","282","282","282"
"53933.90897297859","2.7173670531666296","2.7173670531666296","2.7173670531666296","283","283","283"
"54201.43162918091","2.7297851651161564","2.7297851651161564","2.7297851651161564","285","285","285"
"54468.5962061882","2.71308167691208","2.71308167691208","2.71308167691208","286","286","286"
"54735.55489850044","2.7629124969467966","2.7629124969467966","2.7629124969467966","288","288","288"
"55002.39004826546","2.6851015634346984","2.6851015634346984","2.6851015634346984","289","289","289"
"55269.23957657814","2.6754367465309454","2.6754367465309454","2.6754367465309454","290","290","290"
"55536.12645769119","2.6992322157065707","2.6992322157065707","2.6992322157065707","292","292","292"
"55802.97851753235","2.7206636963289985","2.7206636963289985","2.7206636963289985","293","293","293"
"56070.042197704315","2.707713120592543","2.707713120592543","2.707713120592543","295","295","295"
"56337.407052755356","2.697147111210493","2.697147111210493","2.697147111210493","296","296","296"
"56605.04895925522","2.7227391154530616","2.7227391154530616","2.7227391154530616","297","297","297"
"56872.908589839935","2.6729387103184696","2.6729387103184696","2.6729387103184696","299","299","299"
