"time","bs8,tbs524288,seq2048 - client_1/train_loss","bs8,tbs524288,seq2048 - client_1/train_loss__MIN","bs8,tbs524288,seq2048 - client_1/train_loss__MAX","bs8,tbs524288,seq2048 - _step","bs8,tbs524288,seq2048 - _step__MIN","bs8,tbs524288,seq2048 - _step__MAX"
"37124","2.9714231491088867","2.9714231491088867","2.9714231491088867","14592","14592","14592"
"37126","2.9161500930786133","2.9161500930786133","2.9161500930786133","14593","14593","14593"
"37129","2.8778927326202393","2.8778927326202393","2.8778927326202393","14594","14594","14594"
"37132","2.911776304244995","2.911776304244995","2.911776304244995","14598","14598","14598"
"37135","2.5693142414093018","2.5693142414093018","2.5693142414093018","14599","14599","14599"
"37137","3.016005277633667","3.016005277633667","3.016005277633667","14600","14600","14600"
"37140","2.7858638763427734","2.7858638763427734","2.7858638763427734","14605","14605","14605"
"37143","2.818317413330078","2.818317413330078","2.818317413330078","14606","14606","14606"
"37146","2.9065542221069336","2.9065542221069336","2.9065542221069336","14607","14607","14607"
"37148","2.3567280769348145","2.3567280769348145","2.3567280769348145","14608","14608","14608"
"37151","2.9773449897766113","2.9773449897766113","2.9773449897766113","14613","14613","14613"
"37154","2.9765243530273438","2.9765243530273438","2.9765243530273438","14614","14614","14614"
"37156","2.9109246730804443","2.9109246730804443","2.9109246730804443","14615","14615","14615"
"37159","2.8523194789886475","2.8523194789886475","2.8523194789886475","14616","14616","14616"
"37162","3.1881611347198486","3.1881611347198486","3.1881611347198486","14620","14620","14620"
"37165","2.8001108169555664","2.8001108169555664","2.8001108169555664","14621","14621","14621"
"37167","3.1937062740325928","3.1937062740325928","3.1937062740325928","14622","14622","14622"
"37170","3.08711576461792","3.08711576461792","3.08711576461792","14627","14627","14627"
"37301","2.935335636138916","2.935335636138916","2.935335636138916","14631","14631","14631"
"37304","2.993173122406006","2.993173122406006","2.993173122406006","14632","14632","14632"
"37306","3.119091272354126","3.119091272354126","3.119091272354126","14633","14633","14633"
"37309","2.80515193939209","2.80515193939209","2.80515193939209","14634","14634","14634"
"37312","2.500844955444336","2.500844955444336","2.500844955444336","14638","14638","14638"
"37314","3.0362775325775146","3.0362775325775146","3.0362775325775146","14639","14639","14639"
"37317","2.8244266510009766","2.8244266510009766","2.8244266510009766","14640","14640","14640"
"37320","2.896852731704712","2.896852731704712","2.896852731704712","14641","14641","14641"
"37323","2.8327677249908447","2.8327677249908447","2.8327677249908447","14645","14645","14645"
"37325","2.831852674484253","2.831852674484253","2.831852674484253","14646","14646","14646"
"37328","2.9164795875549316","2.9164795875549316","2.9164795875549316","14647","14647","14647"
"37331","2.788654327392578","2.788654327392578","2.788654327392578","14652","14652","14652"
"37333","3.0203704833984375","3.0203704833984375","3.0203704833984375","14653","14653","14653"
"37336","2.8889400959014893","2.8889400959014893","2.8889400959014893","14654","14654","14654"
"37339","3.0185391902923584","3.0185391902923584","3.0185391902923584","14655","14655","14655"
"37341","3.0086143016815186","3.0086143016815186","3.0086143016815186","14660","14660","14660"
"37344","2.894592046737671","2.894592046737671","2.894592046737671","14661","14661","14661"
"37347","2.789008140563965","2.789008140563965","2.789008140563965","14662","14662","14662"
"37350","2.813967704772949","2.813967704772949","2.813967704772949","14663","14663","14663"
"37352","3.626343011856079","3.626343011856079","3.626343011856079","14667","14667","14667"
"37355","3.0421018600463867","3.0421018600463867","3.0421018600463867","14668","14668","14668"
"37358","2.8946971893310547","2.8946971893310547","2.8946971893310547","14669","14669","14669"
"37360","2.8919546604156494","2.8919546604156494","2.8919546604156494","14674","14674","14674"
"37363","2.8857102394104004","2.8857102394104004","2.8857102394104004","14675","14675","14675"
"37366","3.0953145027160645","3.0953145027160645","3.0953145027160645","14676","14676","14676"
"37369","2.8150033950805664","2.8150033950805664","2.8150033950805664","14677","14677","14677"
