"time","single - client_0/train_loss","single - client_0/train_loss__MIN","single - client_0/train_loss__MAX","single - _step","single - _step__MIN","single - _step__MAX"
"1094","3.8926963806152344","3.8926963806152344","3.8926963806152344","371","371","371"
"1108","3.700124979019165","3.700124979019165","3.700124979019165","376","376","376"
"1111","3.4897243976593018","3.4897243976593018","3.4897243976593018","377","377","377"
"1122","3.63767147064209","3.63767147064209","3.63767147064209","381","381","381"
"1141","3.196819305419922","3.196819305419922","3.196819305419922","388","388","388"
"1144","3.774198532104492","3.774198532104492","3.774198532104492","389","389","389"
"1149","3.7062325477600098","3.7062325477600098","3.7062325477600098","391","391","391"
"1157","3.598344087600708","3.598344087600708","3.598344087600708","394","394","394"
"1163","3.684844970703125","3.684844970703125","3.684844970703125","396","396","396"
"1174","3.568014621734619","3.568014621734619","3.568014621734619","400","400","400"
"1185","3.929783344268799","3.929783344268799","3.929783344268799","404","404","404"
"1188","3.7289481163024902","3.7289481163024902","3.7289481163024902","405","405","405"
"1190","3.6097469329833984","3.6097469329833984","3.6097469329833984","406","406","406"
"1199","3.9127299785614014","3.9127299785614014","3.9127299785614014","409","409","409"
"1210","3.5548131465911865","3.5548131465911865","3.5548131465911865","413","413","413"
"1240","3.6989645957946777","3.6989645957946777","3.6989645957946777","424","424","424"
"1242","3.96764874458313","3.96764874458313","3.96764874458313","425","425","425"
"1245","3.8058905601501465","3.8058905601501465","3.8058905601501465","426","426","426"
"1248","3.6994805335998535","3.6994805335998535","3.6994805335998535","427","427","427"
"1253","3.861992120742798","3.861992120742798","3.861992120742798","429","429","429"
"1267","3.612046957015991","3.612046957015991","3.612046957015991","434","434","434"
"1284","3.2276899814605713","3.2276899814605713","3.2276899814605713","440","440","440"
"1286","3.849991798400879","3.849991798400879","3.849991798400879","441","441","441"
"1300","3.969320297241211","3.969320297241211","3.969320297241211","446","446","446"
"1311","3.580632448196411","3.580632448196411","3.580632448196411","450","450","450"
"1319","3.5302066802978516","3.5302066802978516","3.5302066802978516","453","453","453"
"1322","3.555457353591919","3.555457353591919","3.555457353591919","454","454","454"
"1327","3.5923142433166504","3.5923142433166504","3.5923142433166504","456","456","456"
"1330","3.528590440750122","3.528590440750122","3.528590440750122","457","457","457"
"1336","3.5894336700439453","3.5894336700439453","3.5894336700439453","459","459","459"
"1338","4.08915901184082","4.08915901184082","4.08915901184082","460","460","460"
"1341","3.5353713035583496","3.5353713035583496","3.5353713035583496","461","461","461"
"1344","3.527277946472168","3.527277946472168","3.527277946472168","462","462","462"
"1349","3.3887853622436523","3.3887853622436523","3.3887853622436523","464","464","464"
"1357","3.6957359313964844","3.6957359313964844","3.6957359313964844","467","467","467"
"1363","3.755080223083496","3.755080223083496","3.755080223083496","469","469","469"
"1368","3.6956708431243896","3.6956708431243896","3.6956708431243896","471","471","471"
"1377","3.500743865966797","3.500743865966797","3.500743865966797","474","474","474"
"1382","3.5190858840942383","3.5190858840942383","3.5190858840942383","476","476","476"
"1396","3.345383644104004","3.345383644104004","3.345383644104004","481","481","481"
"1399","3.5666704177856445","3.5666704177856445","3.5666704177856445","482","482","482"
"1412","3.6393508911132812","3.6393508911132812","3.6393508911132812","487","487","487"
"1415","3.6075944900512695","3.6075944900512695","3.6075944900512695","488","488","488"
"1418","3.679816246032715","3.679816246032715","3.679816246032715","489","489","489"
"1429","3.417203426361084","3.417203426361084","3.417203426361084","493","493","493"
"1431","3.3703863620758057","3.3703863620758057","3.3703863620758057","494","494","494"
"1434","3.4783706665039062","3.4783706665039062","3.4783706665039062","495","495","495"
"1437","3.495765447616577","3.495765447616577","3.495765447616577","496","496","496"
"1440","3.721403121948242","3.721403121948242","3.721403121948242","497","497","497"
"1442","3.4707860946655273","3.4707860946655273","3.4707860946655273","498","498","498"
"1448","3.585634708404541","3.585634708404541","3.585634708404541","500","500","500"
"1451","3.8193023204803467","3.8193023204803467","3.8193023204803467","501","501","501"
"1453","3.670264959335327","3.670264959335327","3.670264959335327","502","502","502"
"1462","3.4845972061157227","3.4845972061157227","3.4845972061157227","505","505","505"
"1475","3.4977211952209473","3.4977211952209473","3.4977211952209473","510","510","510"
"1478","3.55682373046875","3.55682373046875","3.55682373046875","511","511","511"
"1481","3.626988410949707","3.626988410949707","3.626988410949707","512","512","512"
"1483","3.5523314476013184","3.5523314476013184","3.5523314476013184","513","513","513"
"1486","3.4574363231658936","3.4574363231658936","3.4574363231658936","514","514","514"
"1492","3.415428876876831","3.415428876876831","3.415428876876831","516","516","516"
"1497","3.3726840019226074","3.3726840019226074","3.3726840019226074","518","518","518"
"1516","3.444892406463623","3.444892406463623","3.444892406463623","525","525","525"
"1519","3.6250407695770264","3.6250407695770264","3.6250407695770264","526","526","526"
"1533","3.1032066345214844","3.1032066345214844","3.1032066345214844","531","531","531"
"1538","3.6153156757354736","3.6153156757354736","3.6153156757354736","533","533","533"
"1546","3.501538038253784","3.501538038253784","3.501538038253784","536","536","536"
"1560","3.6407675743103027","3.6407675743103027","3.6407675743103027","541","541","541"
"1563","3.487729072570801","3.487729072570801","3.487729072570801","542","542","542"
"1568","3.5057477951049805","3.5057477951049805","3.5057477951049805","544","544","544"
"1579","3.393678903579712","3.393678903579712","3.393678903579712","548","548","548"
"1582","3.3481059074401855","3.3481059074401855","3.3481059074401855","549","549","549"
"1585","3.416553497314453","3.416553497314453","3.416553497314453","550","550","550"
"1587","3.658514976501465","3.658514976501465","3.658514976501465","551","551","551"
"1609","3.310917377471924","3.310917377471924","3.310917377471924","559","559","559"
"1620","3.3950130939483643","3.3950130939483643","3.3950130939483643","563","563","563"
"1623","3.3803510665893555","3.3803510665893555","3.3803510665893555","564","564","564"
"1631","3.791018486022949","3.791018486022949","3.791018486022949","567","567","567"
"1648","3.635181427001953","3.635181427001953","3.635181427001953","573","573","573"
"1650","3.801603317260742","3.801603317260742","3.801603317260742","574","574","574"
"1656","3.4727723598480225","3.4727723598480225","3.4727723598480225","576","576","576"
"1659","3.4470415115356445","3.4470415115356445","3.4470415115356445","577","577","577"
"1667","3.45449161529541","3.45449161529541","3.45449161529541","580","580","580"
"1670","3.338179111480713","3.338179111480713","3.338179111480713","581","581","581"
"1672","3.332496404647827","3.332496404647827","3.332496404647827","582","582","582"
"1675","3.5708913803100586","3.5708913803100586","3.5708913803100586","583","583","583"
"1678","3.5752108097076416","3.5752108097076416","3.5752108097076416","584","584","584"
"1681","3.351064682006836","3.351064682006836","3.351064682006836","585","585","585"
"1683","3.3713107109069824","3.3713107109069824","3.3713107109069824","586","586","586"
"1689","3.661065101623535","3.661065101623535","3.661065101623535","588","588","588"
"1694","3.6432313919067383","3.6432313919067383","3.6432313919067383","590","590","590"
"1697","3.098909854888916","3.098909854888916","3.098909854888916","591","591","591"
"1700","3.3451037406921387","3.3451037406921387","3.3451037406921387","592","592","592"
"1705","3.5574331283569336","3.5574331283569336","3.5574331283569336","594","594","594"
"1708","3.671434164047241","3.671434164047241","3.671434164047241","595","595","595"
"1711","3.5366580486297607","3.5366580486297607","3.5366580486297607","596","596","596"
"1713","3.2525362968444824","3.2525362968444824","3.2525362968444824","597","597","597"
"1716","3.453677177429199","3.453677177429199","3.453677177429199","598","598","598"
"1730","3.4052510261535645","3.4052510261535645","3.4052510261535645","603","603","603"
"1735","3.490607738494873","3.490607738494873","3.490607738494873","605","605","605"
"1741","2.971282482147217","2.971282482147217","2.971282482147217","607","607","607"
"1743","3.364072322845459","3.364072322845459","3.364072322845459","608","608","608"
"1754","3.550564765930176","3.550564765930176","3.550564765930176","612","612","612"
"1757","3.4465248584747314","3.4465248584747314","3.4465248584747314","613","613","613"
"1763","3.1923446655273438","3.1923446655273438","3.1923446655273438","615","615","615"
"1765","3.550957202911377","3.550957202911377","3.550957202911377","616","616","616"
"1771","3.376039981842041","3.376039981842041","3.376039981842041","618","618","618"
"1779","3.5289571285247803","3.5289571285247803","3.5289571285247803","621","621","621"
"1782","3.5081725120544434","3.5081725120544434","3.5081725120544434","622","622","622"
"1787","3.629605770111084","3.629605770111084","3.629605770111084","624","624","624"
"1790","3.7069950103759766","3.7069950103759766","3.7069950103759766","625","625","625"
"1795","3.555819511413574","3.555819511413574","3.555819511413574","627","627","627"
"1806","3.4378151893615723","3.4378151893615723","3.4378151893615723","631","631","631"
"1812","3.6169934272766113","3.6169934272766113","3.6169934272766113","633","633","633"
"1815","3.4289722442626953","3.4289722442626953","3.4289722442626953","634","634","634"
"1817","3.581817626953125","3.581817626953125","3.581817626953125","635","635","635"
"1837","3.3945939540863037","3.3945939540863037","3.3945939540863037","642","642","642"
"1839","3.556462287902832","3.556462287902832","3.556462287902832","643","643","643"
"1842","3.4629249572753906","3.4629249572753906","3.4629249572753906","644","644","644"
"1845","3.572277545928955","3.572277545928955","3.572277545928955","645","645","645"
"1847","3.498072624206543","3.498072624206543","3.498072624206543","646","646","646"
"1850","3.526576042175293","3.526576042175293","3.526576042175293","647","647","647"
"1853","3.588919162750244","3.588919162750244","3.588919162750244","648","648","648"
