"time","2 client - client_0/train_loss","2 client - client_0/train_loss__MIN","2 client - client_0/train_loss__MAX","2 client - _step","2 client - _step__MIN","2 client - _step__MAX"
"1116","4.102657794952393","4.102657794952393","4.102657794952393","653","653","653"
"1118","3.863539934158325","3.863539934158325","3.863539934158325","654","654","654"
"1121","4.014067649841309","4.014067649841309","4.014067649841309","659","659","659"
"1124","4.088244438171387","4.088244438171387","4.088244438171387","660","660","660"
"1127","4.040407657623291","4.040407657623291","4.040407657623291","661","661","661"
"1129","3.915292739868164","3.915292739868164","3.915292739868164","662","662","662"
"1132","3.9696075916290283","3.9696075916290283","3.9696075916290283","666","666","666"
"1135","3.8127591609954834","3.8127591609954834","3.8127591609954834","667","667","667"
"1138","4.072877883911133","4.072877883911133","4.072877883911133","668","668","668"
"1140","3.9504857063293457","3.9504857063293457","3.9504857063293457","669","669","669"
"1143","3.7635326385498047","3.7635326385498047","3.7635326385498047","674","674","674"
"1146","3.7659692764282227","3.7659692764282227","3.7659692764282227","675","675","675"
"1149","3.9206814765930176","3.9206814765930176","3.9206814765930176","676","676","676"
"1154","3.812577247619629","3.812577247619629","3.812577247619629","682","682","682"
"1157","3.7565391063690186","3.7565391063690186","3.7565391063690186","683","683","683"
"1165","3.7965004444122314","3.7965004444122314","3.7965004444122314","689","689","689"
"1168","3.8342437744140625","3.8342437744140625","3.8342437744140625","690","690","690"
"1170","3.7333984375","3.7333984375","3.7333984375","691","691","691"
"1176","3.7178845405578613","3.7178845405578613","3.7178845405578613","697","697","697"
"1179","3.7748706340789795","3.7748706340789795","3.7748706340789795","698","698","698"
"1181","3.7153568267822266","3.7153568267822266","3.7153568267822266","702","702","702"
"1187","3.6103787422180176","3.6103787422180176","3.6103787422180176","704","704","704"
"1190","4.020327568054199","4.020327568054199","4.020327568054199","705","705","705"
"1198","3.935424327850342","3.935424327850342","3.935424327850342","712","712","712"
"1201","4.014387607574463","4.014387607574463","4.014387607574463","717","717","717"
"1203","3.992997407913208","3.992997407913208","3.992997407913208","718","718","718"
"1206","3.9760334491729736","3.9760334491729736","3.9760334491729736","719","719","719"
"1209","3.789180040359497","3.789180040359497","3.789180040359497","720","720","720"
"1212","3.490448474884033","3.490448474884033","3.490448474884033","724","724","724"
"1214","3.7976090908050537","3.7976090908050537","3.7976090908050537","725","725","725"
"1220","3.7543509006500244","3.7543509006500244","3.7543509006500244","727","727","727"
"1223","3.5837628841400146","3.5837628841400146","3.5837628841400146","732","732","732"
"1228","4.016557693481445","4.016557693481445","4.016557693481445","734","734","734"
"1231","3.788973808288574","3.788973808288574","3.788973808288574","738","738","738"
"1233","3.840426445007324","3.840426445007324","3.840426445007324","739","739","739"
"1236","3.764458656311035","3.764458656311035","3.764458656311035","740","740","740"
"1239","3.6316542625427246","3.6316542625427246","3.6316542625427246","741","741","741"
"1242","3.8999311923980713","3.8999311923980713","3.8999311923980713","746","746","746"
"1244","3.739748954772949","3.739748954772949","3.739748954772949","747","747","747"
"1247","3.8855772018432617","3.8855772018432617","3.8855772018432617","748","748","748"
"1250","3.5978784561157227","3.5978784561157227","3.5978784561157227","749","749","749"
"1382","3.4709792137145996","3.4709792137145996","3.4709792137145996","756","756","756"
"1385","3.84744930267334","3.84744930267334","3.84744930267334","757","757","757"
"1388","3.735107660293579","3.735107660293579","3.735107660293579","758","758","758"
"1390","3.889890432357788","3.889890432357788","3.889890432357788","759","759","759"
"1393","3.764089822769165","3.764089822769165","3.764089822769165","763","763","763"
"1396","3.7393620014190674","3.7393620014190674","3.7393620014190674","764","764","764"
"1399","3.8169262409210205","3.8169262409210205","3.8169262409210205","765","765","765"
"1401","3.5739502906799316","3.5739502906799316","3.5739502906799316","770","770","770"
"1407","3.7378125190734863","3.7378125190734863","3.7378125190734863","772","772","772"
"1409","4.143765449523926","4.143765449523926","4.143765449523926","773","773","773"
"1412","3.7025060653686523","3.7025060653686523","3.7025060653686523","778","778","778"
"1415","3.5638630390167236","3.5638630390167236","3.5638630390167236","779","779","779"
"1417","3.643901824951172","3.643901824951172","3.643901824951172","780","780","780"
"1420","3.4281859397888184","3.4281859397888184","3.4281859397888184","781","781","781"
"1426","3.7663331031799316","3.7663331031799316","3.7663331031799316","786","786","786"
"1431","3.510556936264038","3.510556936264038","3.510556936264038","792","792","792"
"1434","3.707211494445801","3.707211494445801","3.707211494445801","793","793","793"
"1439","3.754619836807251","3.754619836807251","3.754619836807251","795","795","795"
"1442","3.768559217453003","3.768559217453003","3.768559217453003","800","800","800"
"1448","3.4495129585266113","3.4495129585266113","3.4495129585266113","802","802","802"
"1450","3.8205244541168213","3.8205244541168213","3.8205244541168213","803","803","803"
"1453","3.803253173828125","3.803253173828125","3.803253173828125","807","807","807"
"1456","3.6943325996398926","3.6943325996398926","3.6943325996398926","808","808","808"
"1458","3.867766857147217","3.867766857147217","3.867766857147217","809","809","809"
"1464","3.6907219886779785","3.6907219886779785","3.6907219886779785","815","815","815"
"1467","3.7770323753356934","3.7770323753356934","3.7770323753356934","816","816","816"
"1469","3.747680187225342","3.747680187225342","3.747680187225342","817","817","817"
"1472","3.8068418502807617","3.8068418502807617","3.8068418502807617","822","822","822"
"1478","3.644780397415161","3.644780397415161","3.644780397415161","824","824","824"
"1480","3.5816030502319336","3.5816030502319336","3.5816030502319336","825","825","825"
"1483","3.5284085273742676","3.5284085273742676","3.5284085273742676","829","829","829"
"1486","3.895638942718506","3.895638942718506","3.895638942718506","830","830","830"
"1489","3.6406760215759277","3.6406760215759277","3.6406760215759277","831","831","831"
"1494","3.8545632362365723","3.8545632362365723","3.8545632362365723","837","837","837"
"1497","3.7241506576538086","3.7241506576538086","3.7241506576538086","838","838","838"
"1502","3.741905689239502","3.741905689239502","3.741905689239502","843","843","843"
"1505","3.624721050262451","3.624721050262451","3.624721050262451","844","844","844"
"1508","3.4509475231170654","3.4509475231170654","3.4509475231170654","845","845","845"
"1510","3.9311318397521973","3.9311318397521973","3.9311318397521973","846","846","846"
"1513","3.56265926361084","3.56265926361084","3.56265926361084","851","851","851"
"1516","3.843585252761841","3.843585252761841","3.843585252761841","852","852","852"
"1519","3.6531989574432373","3.6531989574432373","3.6531989574432373","853","853","853"
"1521","3.6677803993225098","3.6677803993225098","3.6677803993225098","858","858","858"
"1532","3.6882429122924805","3.6882429122924805","3.6882429122924805","865","865","865"
"1535","3.6651434898376465","3.6651434898376465","3.6651434898376465","866","866","866"
"1538","3.5971479415893555","3.5971479415893555","3.5971479415893555","867","867","867"
"1549","3.8109402656555176","3.8109402656555176","3.8109402656555176","875","875","875"
"1551","3.701634168624878","3.701634168624878","3.701634168624878","880","880","880"
"1554","3.9209673404693604","3.9209673404693604","3.9209673404693604","881","881","881"
"1557","3.502138137817383","3.502138137817383","3.502138137817383","882","882","882"
"1560","3.5819995403289795","3.5819995403289795","3.5819995403289795","883","883","883"
"1562","4.275382995605469","4.275382995605469","4.275382995605469","887","887","887"
"1565","3.802015781402588","3.802015781402588","3.802015781402588","888","888","888"
"1568","3.506272792816162","3.506272792816162","3.506272792816162","889","889","889"
"1576","3.8569142818450928","3.8569142818450928","3.8569142818450928","896","896","896"
"1579","3.58097243309021","3.58097243309021","3.58097243309021","897","897","897"
"1582","4.120187282562256","4.120187282562256","4.120187282562256","901","901","901"
